MeatID,MeatName,MeatType,MinTemp,Description
8131994,Brisket,Beef,145,"Brisket is a cut of meat from the breast or lower chest of beef or veal. Brisket can be cooked many ways, including baking, boiling and roasting. Popular methods in the United States include rubbing with a spice rub or marinating the meat, then cooking slowly over indirect heat from charcoal or wood."
8131995,Ribs,Beef,145,"Ribs of pork, beef, lamb, and venison are a cut of meat. Ribs usually refers to the less meaty part of the chops, often cooked as a slab (not cut into separate ribs). They can be roasted, grilled, fried, baked, braised, or smoked."
8131996,Ground Beef,Beef,160,"Ground beef, minced beef or beef mince is beef that has been finely chopped with a knife or a meat grinder. It is used in many recipes including hamburgers and spaghetti Bolognese. "
8131997,Steak,Beef,145,"A meat generally sliced across the muscle fibers, potentially including a bone. Beef steaks are commonly grilled or occasionally fried. Grilled beef steaks can be cooked at different temperatures, or for different lengths of time; the resulting cooked steak ranges from blue (very rare) to overdone"
9141995,Ribs,Pork,145,"Ribs of pork, beef, lamb, and venison are a cut of meat. Ribs usually refers to the less meaty part of the chops, often cooked as a slab (not cut into separate ribs). They can be roasted, grilled, fried, baked, braised, or smoked."
9141996,Loins,Pork,145,"Pork loin is a cut of meat from a pig, created from the tissue along the dorsal side of the rib cage. Pork loin may be cut into individual servings, as chops (bone in) or steaks (boneless) which are grilled, baked or fried."
9141994,Ham,Pork,145,"Ham is pork from a leg cut that has been preserved by wet or dry curing, with or without smoking. Ham is produced by curing raw pork by salting, also known as dry curing, or brining, also known as wet curing. Additionally, smoking may be employed."
10311993,Breast,Chicken,165,"Chicken can be prepared in a vast range of ways, including baking, grilling, barbecuing, frying, and boiling, among many others, depending on its purpose. These are white meat and are relatively dry."
10311994,Wings,Chicken,165,"Chicken can be prepared in a vast range of ways, including baking, grilling, barbecuing, frying, and boiling, among many others, depending on its purpose. Often served as a light meal or bar food. Buffalo wings are a typical example. Comprises three segments: ""Drumette"", ""Flat"", and ""Tip"" (often discarded)."
10311995,Leg,Chicken,165,"Chicken can be prepared in a vast range of ways, including baking, grilling, barbecuing, frying, and boiling, among many others, depending on its purpose. Comprised of 2 segments: ""Drumstick"" and ""Thigh"""
11311991,Turkey,Turkey,165,"Turkey meat, commonly referred to as just turkey, is the meat from turkeys, typically domesticated turkeys. Turkeys are usually baked or roasted in an oven for several hours, often while the cook prepares the remainder of the meal."
